序號,縣市,業者,品項,批號,有效日期
283,嘉義縣,竑鑫食品有限公司,益康大豆沙拉油 18KG,20270413000408,2027.04.13
284,臺南市,典佑商行有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
284,臺南市,典佑商行有限公司,健味香油 3L,BL150426L,2028.04.05
285,臺南市,大全聯(柳營)中法鑫,泰山好理調合油-2L*6,2027072506,2027.07.25
285,臺南市,大全聯(柳營)中法鑫,泰山花生風味調和油2L*6入,2027100901,2027.10.09
285,臺南市,大全聯(柳營)中法鑫,泰山好理調合油0.6L*24,2027072504,2027.07.25
285,臺南市,大全聯(柳營)中法鑫,泰山精選蔬菜油-3L*6,2027072506,2027.07.25
286,臺南市,宏原行,益康烹調油(調合油),20270413000403,2027.04.13
287,臺南市,銘勝企業有限公司,健味香油 3L,BL240426L,2028.04.19
288,臺南市,鑫雍龍實業有限公司,健味香油 3L,BL240426L,2028.04.19
289,臺南市,益盛行,沙拉油 18L(福壽),C21404260,2027.04.13
290,臺南市,翔順免洗餐具有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
290,臺南市,翔順免洗餐具有限公司,沙拉油 18L(福壽),C21504260,2027.04.14
290,臺南市,翔順免洗餐具有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
291,臺南市,三歐食品有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
292,臺南市,聯瑞食品科技股份有限公司,沙拉油 18L(福壽),C22104260,2027.04.20
293,臺南市,華信商行有限公司-倉庫,泰山大豆沙拉油0.6L*12入(新版),2027041301,2027.04.13
294,臺南市,樂豐 台南物流倉庫,金酥耐炸油-18L,2027040801,2027.04.08
294,臺南市,樂豐 台南物流倉庫,沙拉油-18L(泰山),2027040901,2027.04.09
295,臺南市,原香有限公司,泰山大豆沙拉油0.6L*12入(新版),2027041301,2027.04.13
296,臺南市,明輝菸酒有限公司,泰山歐式果實精華調合油1.5L*6入,2027101301,2027.10.13
296,臺南市,明輝菸酒有限公司,泰山大豆沙拉油0.6L*12入(新版),2027041301,2027.04.13
297,臺南市,得新商行,益康大豆沙拉油 18L,20270411000408,2027.04.11
298*,臺南市,日盛,沙拉油 18L(福壽),C21504260,2027.04.15
299,臺南市,黃O德,沙拉油 18L(福壽),C21604260,2027.04.15
299,臺南市,黃O德,沙拉油－塑桶 3L,C1160426K,2027.04.15
300,臺南市,鴻達鑫企業,沙拉油 18L(福壽),C21504260,2027.04.15
300,臺南市,鴻達鑫企業,沙拉油－塑桶 3L,C1160426K,2027.04.15
301*,臺南市,新農科技股份有限公司,一級黃豆油,202604081315,2026.10.04
302,臺南市,晟隆貿易企業社,益康大豆沙拉油 18L,20270410000407,2027.04.10
303,高雄市,弘達流通(股)公司-岡山倉,泰山精選蔬菜油-3L*6,2027072506,2027.07.25
303,高雄市,弘達流通(股)公司-岡山倉,泰山好理調合油-2L*6,2027072506,2027.07.25
303,高雄市,弘達流通(股)公司-岡山倉,泰山花生風味調和油2L*6入,2027100901,2027.10.09
303,高雄市,弘達流通(股)公司-岡山倉,泰山好理調合油0.6L*24,2027072504,2027.07.25
304,高雄市,夏O清,泰山花生風味調和油2L*6入,2027100901,2027.10.09
305,高雄市,秫禾企業倉庫,泰山歐式果實精華調合油1.5L*6入,2027101301,2027.10.13
306,高雄市,現兌-大社營業所,健味香油 3L,BL150426L,2028.04.05
307,高雄市,十代有限公司,健味香油 3L,BL240426L,2028.04.19
308,高雄市,聯豐麵粉有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
309,高雄市,鈞友企業社,沙拉油 18L(福壽),C21404260,2027.04.13
310,高雄市,泰裕食品有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
311,高雄市,福來旺實業有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
312,高雄市,福桂有限公司,益康烹調油(調合油),20270413000403,2027.04.13
313,高雄市,味橋食材股份有限公司,健味香油 3L,BL150426L,2028.04.05
313,高雄市,味橋食材股份有限公司,健味香油 3L,BL240426L,2028.04.19
314,高雄市,爭鮮股份有限公司,益康烹調油(調合油),20270413000403,2027.04.13
315,高雄市,隆億商號,健味香油 3L,BL150426L,2028.04.05
316,高雄市,東泉行,健味香油 3L,BL150426L,2028.04.05
317,高雄市,維義事業股份有限公司,一級黃豆油,202604081315,2026.10.04
318,高雄市,溶發有限公司倉庫,泰山歐式果實精華調合油1.5L*6入,2027101301,2027.10.13
318,高雄市,溶發有限公司倉庫,泰山大豆沙拉油0.6L*12入(新版),2027041301,2027.04.13
319,高雄市,好玖行倉庫,沙拉油-18L(泰山),2027040901,2027.04.09
320,高雄市,駿騰企業有限公司,泰山好理調合油-2L*6,2027072506,2027.07.25
320,高雄市,駿騰企業有限公司,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
321,高雄市,零售-民旭工業股份有限公司,益康大豆沙拉油 18L,20270411000408,2027.04.11
322*,高雄市,安盛貿易有限公司,沙拉油-18L(泰山),2027040901,2027.04.09
323,高雄市,黃O堅,沙拉油 18L(福壽),C21504260,2027.04.15
324,高雄市,冠頂食材股份有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
324,高雄市,冠頂食材股份有限公司,沙拉油－塑桶 3L,C1160426K,2027.04.15
325,高雄市,家福--油脂F393岡山倉,泰山花生風味調和油2L*6入,2027100901,2027.10.09
325,高雄市,家福--油脂F393岡山倉,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
326,高雄市,瑞庭商行【新倉】,泰山歐式果實精華調合油1.5L*6入,2027101301,2027.10.13
326,高雄市,瑞庭商行【新倉】,泰山大豆沙拉油0.6L*12入(新版),2027041301,2027.04.13
327,高雄市,明德食品工業股份有限公司,沙拉油 18L(福壽),C21504260,2027.04.15
328,高雄市,頂記企業社,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
329,高雄市,森森家企業行,沙拉油－塑桶 3L,C1160426K,2027.04.15
330,高雄市,咸淳食品有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
330,高雄市,咸淳食品有限公司,沙拉油－塑桶 3L,C1140426K,2027.04.13
330,高雄市,咸淳食品有限公司,沙拉油－塑桶 3L,C1160426K,2027.04.15
331*,高雄市,建樹-高雄,沙拉油 18L(福壽),C21604260,2027.04.15
332,高雄市,巧竺商行,沙拉油 18L(福壽),C21504260,2027.04.15
333,高雄市,旺來發有限公司(邱O蓉),沙拉油 18L(福壽),C21604260,2027.04.15
334,屏東縣,泰信食品有限公司,泰山歐式果實精華調合油1.5L*6入,2027101301,2027.10.13
335,屏東縣,宏興行,泰山歐式果實精華調合油1.5L*6入,2027101301,2027.10.13
336,屏東縣,林O豪,沙拉油-18L(泰山),2027040901,2027.04.09
337,屏東縣,台灣有明食品股份有限公司,益康大豆沙拉油 18L,20270411000408,2027.04.11
338,屏東縣,崁頂義豐麻油廠,一級黃豆油,202604091315,2026.10.04
339,屏東縣,建泰號,沙拉油－塑桶 3L,C1160426K,2027.04.15
340,宜蘭縣,立鼎食品行,益康烹調油(調合油),20270414000403,2027.04.14
341,宜蘭縣,翔發商行,益康大豆沙拉油 18L,20270410000407,2027.04.10
342,宜蘭縣,旭華行,沙拉油 18L(福壽),C21504260,2027.04.15
343,宜蘭縣,誠毅商行,益康大豆沙拉油 18L,20270410000407,2027.04.10
343,宜蘭縣,誠毅商行,沙拉油 18L(福壽),C21504260,2027.04.15
343,宜蘭縣,誠毅商行,沙拉油－塑桶 3L,C1160426K,2027.04.15
344,宜蘭縣,昱誠-油脂,金酥耐炸油-18L,2027040801,2027.04.08
345*,宜蘭縣,瑞廣企業有限公司,沙拉油 18L(福壽),C21604260,2027.04.15
346,宜蘭縣,佶達食品行(謝O恩),沙拉油 18L(福壽),C21504260,2027.04.15
347,宜蘭縣,惠眾食品工業股份有限公司,益康大豆沙拉油 18KG,20270413000408,2027.04.13
348,宜蘭縣,隆盛食品冷凍股份有限公司,益康大豆沙拉油 18KG,20270413000408,2027.04.13
349,花蓮縣,本居立有限公司,沙拉油 18L(福壽),C21404260,2027.04.13
350,花蓮縣,陳曜股份有限公司,泰山不飽和大豆沙拉油2.6L*6入(新版),2027040901,2027.04.09
350,花蓮縣,陳曜股份有限公司,泰山大豆沙拉油0.6L*12入(新版),2027041301,2027.04.13
351,花蓮縣,鑫良商行,沙拉油－塑桶 3L,C1140426K,2027.04.13
352,花蓮縣,相正企業有限公司,益康烹調油(調合油),20270414000403,2027.04.14
352,花蓮縣,相正企業有限公司,健味香油 3L,BL150426L,2028.04.05
353,花蓮縣,大慶行,泰山花生風味調和油2L*6入,2027100901,2027.10.09
353,花蓮縣,大慶行,泰山好理調合油0.6L*24,2027072504,2027.07.25
354,花蓮縣,全勝行,沙拉油 18L(福壽),C21504260,2027.04.15
355,臺東縣,信輝商行,沙拉油 18L(福壽),C21604260,2027.04.15
355,臺東縣,信輝商行,健味香油 3L,BL150426L,2028.04.05
